course_id,id,place,text
d802cc81-fa37-4463-80a6-119f9767a308,daa1b02e-9c27-4def-8b2f-6667de7e4344,3,"Data Classes adalah class yang secara otomatis menyediakan fungsi utama seperti toString(), equals(), hashCode(), dan copy() yang digunakan untuk memudahkan pengolahan data.;Collections adalah kumpulan objek dalam satu tempat yang dapat diakses dan dimanipulasi dalam berbagai cara, seperti menambah atau menghapus elemen, mengurutkan, dan memfilter.;Kotlin menyediakan beberapa jenis collections seperti List, Set, dan Map dengan fitur-fitur khusus seperti immutable dan mutable collections."
4ff43f8a-e086-45c2-ae8e-141cf399a3f6,eb6bf4c3-a736-4ef1-be00-14b4bde8f3ff,3,"Kotlin mendukung paradigma functional programming, yaitu gaya pemrograman yang fokus pada penggunaan fungsi sebagai objek utama untuk membuat program.;Beberapa fitur fungsional di Kotlin antara lain higher-order functions, lambda expressions, dan operator overloading.;Fungsional programming memudahkan pengembangan aplikasi yang bersifat deklaratif dan meminimalkan penggunaan mutable state."
de28628f-4a54-4b86-ba62-c5ca5ec1c519,23083652-5dcd-4a1d-9ddd-55cd67b8d336,3,"Kotlin adalah bahasa pemrograman berorientasi objek (object-oriented programming) yang menyediakan fitur-fitur seperti inheritance, encapsulation, dan polymorphism.;Dalam Kotlin, semua tipe data adalah objek, termasuk tipe primitif seperti Int dan Boolean.;Kotlin juga menyediakan beberapa fitur objek khusus seperti companion object dan object expressions."
d6cedcea-d9e2-44e5-9377-d6bb270e5f78,84998dfd-f163-4a11-8dd4-ff08af7a6645,3,"Generics adalah fitur yang memungkinkan tipe data menjadi parameter dalam class atau fungsi.;Kotlin menyediakan generics yang mendukung variance, yaitu kemampuan untuk mengkonversi tipe data yang memiliki hierarki yang sama, seperti subkelas dan superkelas.;Contoh generics di Kotlin antara lain List<T>, Set<T>, dan Map<K, V>."
2b248422-5313-4d40-bde6-3b32b3c9ac52,23dfa321-3af2-4fd0-b03d-443eb0f209da,3,"Coroutines adalah fitur pada Kotlin untuk melakukan tugas secara asynchronous dan non-blocking.;Coroutines memungkinkan kode dapat dijalankan secara sekuensial tanpa memblokir thread utama, sehingga meningkatkan efisiensi dan responsivitas aplikasi.;Coroutines menggunakan konsep suspend function dan job untuk mengatur urutan tugas."
991c7694-ec46-450d-abc1-b47ab1bb6e41,8245760e-a39f-4268-a75b-3962a6a97106,3,"Pengembangan aplikasi Android membutuhkan pemahaman tentang komponen-komponen dasar seperti Activity, Fragment, Service, dan BroadcastReceiver.;Android Studio adalah IDE yang digunakan untuk mengembangkan aplikasi Android dengan bahasa pemrograman Kotlin atau Java.;Aplikasi Android memiliki siklus hidup (lifecycle) yang perlu dipahami untuk mengelola state dan menjaga performa aplikasi."
e9fdbf92-8901-4d3d-984f-31aa639efce8,1b0c465c-e85f-4719-bc43-422d62a61e4c,3,"Fragment adalah komponen UI pada Android yang dapat digunakan untuk memecah tampilan menjadi bagian yang lebih kecil dan dapat di-reuse pada beberapa Activity.;Fragment memiliki siklus hidup yang mirip dengan Activity dan dapat dikontrol oleh Activity yang menggunakannya.;Fragment dapat diubah, ditambah, atau dihapus secara dinamis pada saat runtime."
63fc4048-ea01-47ce-aefb-7793d6d53915,a3834493-35a4-4497-8b77-69dcd5b50f12,3,Navigation adalah fitur pada Android yang digunakan untuk mengatur navigasi antara komponen UI seperti Activity dan Fragment dalam aplikasi.;Navigation menyediakan komponen Navigation Graph untuk memvisualisasikan dan mengatur hubungan antara komponen UI.;Navigation juga menyediakan fitur animasi transisi dan argument passing antar komponen UI.
edb5749d-ed25-4929-a524-51dac04e2e52,d0db8c68-3486-480c-9c6f-b254fdea9ad8,3,"Background thread adalah thread yang berjalan di luar thread utama aplikasi untuk melakukan tugas yang membutuhkan waktu lama atau memakan sumber daya yang besar, seperti networking atau pengolahan data.;Kotlin menyediakan beberapa cara untuk membuat background thread, seperti menggunakan fungsi async dan await, atau menggunakan coroutines.;Networking adalah proses mengambil data dari internet atau memperbarui data ke internet. Kotlin menyediakan library khusus untuk melakukan networking seperti Retrofit atau Volley."
5564e197-d473-48f3-a9a2-560f07029de1,8e3fbcd0-b2c9-4537-ae81-48badd2b7003,3,"Android Architecture Component adalah library yang disediakan oleh Google untuk memudahkan pengembangan aplikasi Android dengan arsitektur yang terstruktur.;Android Architecture Component terdiri dari beberapa komponen, seperti Room untuk database, ViewModel dan LiveData untuk mengatur data, dan Navigation untuk mengatur navigasi.;Android Architecture Component memudahkan pengembangan aplikasi yang mudah dipelihara, mudah diuji, dan skalabilitas yang baik."
